URUNID;MIKTAR;FIRMAID;SEHIR;URUNTIPIID;SIPARISTARIHI;GELDIGITARIHI;TEDARIKSURESI
BY-287;1;T-015;İSTANBUL;0;12 Haziran 2019 Çarşamba;14 Haziran 2019 Cuma;2
K980;1;T-036;İSTANBUL;1;5 Mart 2020 Perşembe;10 Mart 2020 Salı;5
K26;1;T-036;İSTANBUL;1;12 Şubat 2021 Cuma;11 Mart 2021 Perşembe;27
BY-287;1;T-015;İSTANBUL;0;26 Mart 2021 Cuma;27 Mart 2021 Cumartesi;1
BY-287;1;T-015;İSTANBUL;0;4 Haziran 2021 Cuma;5 Haziran 2021 Cumartesi;1
BY-287;1;T-015;İSTANBUL;0;9 Temmuz 2021 Cuma;10 Temmuz 2021 Cumartesi;1
BY-287;1;T-015;İSTANBUL;0;28 Eylül 2021 Salı;29 Eylül 2021 Çarşamba;1
K389;1;T-060;TEKİRDAĞ;1;21 Aralık 2021 Salı;22 Aralık 2021 Çarşamba;1
K1113;1;T-0127;İSTANBUL;1;8 Nisan 2022 Cuma;11 Nisan 2022 Pazartesi;3
BY-287;2;T-015;İSTANBUL;0;12 Temmuz 2021 Pazartesi;13 Temmuz 2021 Salı;1
K203;2;T-038;İSTANBUL;1;13 Haziran 2019 Perşembe;17 Haziran 2019 Pazartesi;4
K730;2;T-060;TEKİRDAĞ;1;30 Ekim 2020 Cuma;3 Kasım 2020 Salı;4
K730;2;T-060;TEKİRDAĞ;1;9 Kasım 2020 Pazartesi;10 Kasım 2020 Salı;1
K730;2;T-060;TEKİRDAĞ;1;25 Kasım 2020 Çarşamba;27 Kasım 2020 Cuma;2
K730;2;T-060;TEKİRDAĞ;1;18 Aralık 2020 Cuma;21 Aralık 2020 Pazartesi;3
K730;2;T-060;TEKİRDAĞ;1;22 Mart 2021 Pazartesi;23 Mart 2021 Salı;1
K788;2;T-060;TEKİRDAĞ;1;20 Mayıs 2021 Perşembe;24 Mayıs 2021 Pazartesi;4
K730;2;T-0142;;1;20 Mayıs 2021 Perşembe;24 Mayıs 2021 Pazartesi;4
K730;2;T-060;TEKİRDAĞ;1;1 Haziran 2021 Salı;4 Haziran 2021 Cuma;3
K730;2;T-060;TEKİRDAĞ;1;27 Temmuz 2021 Salı;29 Temmuz 2021 Perşembe;2
K730;2;T-060;TEKİRDAĞ;1;4 Ağustos 2021 Çarşamba;5 Ağustos 2021 Perşembe;1
K566;2;T-0108;İSTANBUL;1;2 Ağustos 2021 Pazartesi;3 Ağustos 2021 Salı;1
K565;2;T-0108;İSTANBUL;1;2 Ağustos 2021 Pazartesi;3 Ağustos 2021 Salı;1
K522;2;T-034;İSTANBUL;1;3 Eylül 2021 Cuma;7 Eylül 2021 Salı;4
K788;2;T-060;TEKİRDAĞ;1;5 Ekim 2021 Salı;6 Ekim 2021 Çarşamba;1
K522;2;T-034;İSTANBUL;1;7 Ekim 2021 Perşembe;11 Ekim 2021 Pazartesi;4
K522;2;T-034;İSTANBUL;1;14 Ekim 2021 Perşembe;15 Ekim 2021 Cuma;1
K788;2;T-060;TEKİRDAĞ;1;14 Ekim 2021 Perşembe;19 Ekim 2021 Salı;5
K788;2;T-060;TEKİRDAĞ;1;18 Ekim 2021 Pazartesi;19 Ekim 2021 Salı;1
K566;2;T-0108;İSTANBUL;1;13 Ekim 2021 Çarşamba;14 Ekim 2021 Perşembe;1
K565;2;T-0108;İSTANBUL;1;13 Ekim 2021 Çarşamba;14 Ekim 2021 Perşembe;1
K730;2;T-060;TEKİRDAĞ;1;14 Ekim 2021 Perşembe;21 Ekim 2021 Perşembe;7
K788;2;T-060;TEKİRDAĞ;1;26 Ekim 2021 Salı;27 Ekim 2021 Çarşamba;1
K730;2;T-060;TEKİRDAĞ;1;18 Ekim 2021 Pazartesi;1 Kasım 2021 Pazartesi;14
K730;2;T-060;TEKİRDAĞ;1;26 Ekim 2021 Salı;1 Kasım 2021 Pazartesi;6
K997;2;T-029;BURSA;1;8 Aralık 2021 Çarşamba;9 Aralık 2021 Perşembe;1
K730;2;T-060;TEKİRDAĞ;1;13 Aralık 2021 Pazartesi;15 Aralık 2021 Çarşamba;2
K788;2;T-060;TEKİRDAĞ;1;13 Aralık 2021 Pazartesi;15 Aralık 2021 Çarşamba;2
K730;2;T-060;TEKİRDAĞ;1;22 Aralık 2021 Çarşamba;24 Aralık 2021 Cuma;2
K730;2;T-060;TEKİRDAĞ;1;5 Ocak 2022 Çarşamba;10 Ocak 2022 Pazartesi;5
K730;2;T-060;TEKİRDAĞ;1;10 Ocak 2022 Pazartesi;11 Ocak 2022 Salı;1
K522;2;T-034;İSTANBUL;1;12 Ocak 2022 Çarşamba;13 Ocak 2022 Perşembe;1
K522;2;T-034;İSTANBUL;1;25 Ocak 2022 Salı;28 Ocak 2022 Cuma;3
K522;2;T-034;İSTANBUL;1;3 Şubat 2022 Perşembe;4 Şubat 2022 Cuma;1
K730;2;T-060;TEKİRDAĞ;1;11 Şubat 2022 Cuma;15 Şubat 2022 Salı;4
K788;2;T-060;TEKİRDAĞ;1;21 Şubat 2022 Pazartesi;23 Şubat 2022 Çarşamba;2
K788;2;T-060;TEKİRDAĞ;1;8 Mart 2022 Salı;10 Mart 2022 Perşembe;2
K730;2;T-060;TEKİRDAĞ;1;9 Mart 2022 Çarşamba;11 Mart 2022 Cuma;2
K1108;2;T-029;BURSA;1;28 Mart 2022 Pazartesi;6 Nisan 2022 Çarşamba;9
K730;2;T-0142;;1;27 Nisan 2022 Çarşamba;29 Nisan 2022 Cuma;2
K730;2;T-060;TEKİRDAĞ;1;18 Mayıs 2022 Çarşamba;20 Mayıs 2022 Cuma;2
K730;2;T-060;TEKİRDAĞ;1;25 Mayıs 2022 Çarşamba;27 Mayıs 2022 Cuma;2
K120;2;T-036;İSTANBUL;1;8 Aralık 2021 Çarşamba;10 Aralık 2021 Cuma;2
K120;2;T-036;İSTANBUL;1;12 Şubat 2021 Cuma;11 Mart 2021 Perşembe;27
K28;2;T-036;İSTANBUL;1;23 Ekim 2019 Çarşamba;29 Ekim 2019 Salı;6
K28;2;T-036;İSTANBUL;1;15 Ekim 2021 Cuma;21 Ekim 2021 Perşembe;6
K28;2;T-036;İSTANBUL;1;8 Aralık 2021 Çarşamba;10 Aralık 2021 Cuma;2
K28;2;T-036;İSTANBUL;1;10 Ocak 2022 Pazartesi;11 Ocak 2022 Salı;1
K28;2;T-036;İSTANBUL;1;9 Şubat 2022 Çarşamba;10 Şubat 2022 Perşembe;1
K28;2;T-036;İSTANBUL;1;7 Mart 2022 Pazartesi;15 Mart 2022 Salı;8
K28;2;T-036;İSTANBUL;1;9 Mayıs 2022 Pazartesi;11 Mayıs 2022 Çarşamba;2
K980;2;T-036;İSTANBUL;1;3 Aralık 2020 Perşembe;4 Aralık 2020 Cuma;1
K28;2;T-036;İSTANBUL;1;6 Eylül 2019 Cuma;11 Eylül 2019 Çarşamba;5
K26;2;T-036;İSTANBUL;1;12 Şubat 2021 Cuma;19 Şubat 2021 Cuma;7
K980;2;T-036;İSTANBUL;1;20 Aralık 2021 Pazartesi;24 Aralık 2021 Cuma;4
K730;3;T-060;TEKİRDAĞ;1;23 Ağustos 2021 Pazartesi;24 Ağustos 2021 Salı;1
K788;3;T-060;TEKİRDAĞ;1;21 Aralık 2021 Salı;22 Aralık 2021 Çarşamba;1
